animal sire dam
1 NA NA
2 NA NA
3 NA NA
4 NA NA
5 NA NA
6 NA NA
7 NA NA
8 NA NA
9 NA NA
10 NA NA
11 NA NA
12 NA NA
13 NA NA
14 NA NA
15 NA NA
16 NA NA
17 NA NA
18 NA NA
19 NA NA
20 NA NA
21 NA NA
22 NA NA
23 NA NA
24 NA NA
25 NA NA
26 NA NA
27 NA NA
28 NA NA
29 NA NA
30 NA NA
31 NA NA
32 NA NA
33 NA NA
34 NA NA
35 NA NA
36 NA NA
37 NA NA
38 NA NA
39 NA NA
40 NA NA
41 NA NA
42 NA NA
43 NA NA
44 NA NA
45 NA NA
46 NA NA
47 NA NA
48 NA NA
49 NA NA
50 NA NA
51 NA NA
52 NA NA
53 NA NA
54 NA NA
55 NA NA
56 NA NA
57 NA NA
58 NA NA
59 NA NA
60 NA NA
61 NA NA
62 NA NA
63 NA NA
64 NA NA
65 NA NA
66 NA NA
67 NA NA
68 NA NA
69 NA NA
70 NA NA
71 NA NA
72 NA NA
73 NA NA
74 NA NA
75 NA NA
76 NA NA
77 NA NA
78 NA NA
79 NA NA
80 NA NA
81 NA NA
82 NA NA
83 NA NA
84 NA NA
85 NA NA
86 NA NA
87 NA NA
88 NA NA
89 NA NA
90 NA NA
91 NA NA
92 NA NA
93 NA NA
94 NA NA
95 NA NA
96 NA NA
97 NA NA
98 NA NA
99 NA NA
100 NA NA
101 NA NA
102 NA NA
103 NA NA
104 NA NA
105 NA NA
106 NA NA
107 NA NA
108 NA NA
109 NA NA
110 NA NA
111 NA NA
112 NA NA
113 NA NA
114 NA NA
115 NA NA
116 NA NA
117 NA NA
118 NA NA
119 NA NA
120 NA NA
121 NA NA
122 NA NA
123 NA NA
124 NA NA
125 NA NA
126 1 58
127 38 53
128 72 75
129 20 122
130 29 81
131 18 46
132 14 51
133 71 121
134 7 69
135 59 83
136 14 51
137 77 79
138 11 62
139 15 62
140 77 89
141 34 81
142 20 104
143 54 63
144 26 79
145 3 124
146 72 102
147 36 105
148 16 53
149 6 108
150 6 123
151 22 84
152 29 37
153 2 41
154 23 60
155 71 113
156 9 112
157 36 105
158 3 124
159 39 52
160 5 55
161 23 105
162 10 74
163 2 56
164 17 116
165 17 25
166 61 100
167 43 94
168 39 52
169 18 46
170 30 92
171 29 118
172 39 52
173 27 115
174 29 37
175 18 46
176 14 44
177 17 116
178 35 122
179 33 86
180 5 55
181 2 41
182 70 120
183 20 122
184 8 102
185 40 75
186 35 104
187 27 115
188 6 108
189 68 110
190 29 95
191 48 90
192 76 85
193 16 96
194 48 90
195 47 86
196 1 58
197 24 125
198 64 74
199 64 78
200 1 58
201 38 106
202 34 37
203 2 41
204 16 53
205 39 65
206 12 80
207 39 65
208 14 44
209 54 82
210 1 66
211 17 116
212 30 99
213 47 49
214 22 80
215 59 69
216 26 89
217 8 109
218 27 115
219 18 46
220 61 100
221 36 60
222 34 95
223 22 58
224 21 37
225 11 111
226 50 57
227 19 89
228 59 83
229 34 118
230 59 83
231 77 89
232 28 121
233 17 25
234 71 121
235 14 51
236 33 86
237 40 109
238 13 111
239 38 106
240 68 120
241 5 55
242 16 106
243 54 82
244 45 99
245 76 85
246 32 100
247 38 53
248 76 112
249 39 65
250 1 80
251 158 191
252 159 235
253 134 184
254 194 227
255 182 198
256 157 161
257 132 176
258 150 204
259 151 241
260 151 241
261 142 186
262 145 226
263 142 186
264 131 199
265 126 223
266 205 235
267 127 239
268 149 199
269 132 155
270 138 245
271 132 176
272 156 192
273 169 185
274 212 225
275 134 184
276 150 204
277 127 183
278 151 241
279 132 176
280 158 191
281 167 248
282 190 224
283 182 189
284 151 241
285 163 215
286 177 211
287 152 195
288 166 246
289 158 191
290 130 202
291 138 221
292 201 231
293 133 232
294 131 219
295 160 192
296 158 191
297 144 216
298 172 235
299 140 227
300 158 191
301 130 218
302 166 184
303 138 221
304 126 200
305 159 235
306 136 176
307 127 183
308 196 214
309 131 219
310 146 165
311 163 165
312 166 246
313 130 222
314 210 228
315 154 161
316 158 191
317 201 247
318 148 185
319 141 218
320 201 231
321 146 179
322 139 246
323 144 227
324 201 247
325 129 178
326 190 202
327 152 195
328 151 241
329 158 191
330 160 221
331 128 237
332 126 223
333 156 192
334 180 214
335 194 227
336 127 239
337 134 246
338 149 219
339 141 202
340 175 217
341 171 218
342 197 229
343 182 189
344 175 217
345 141 224
346 145 226
347 167 226
348 162 174
349 181 204
350 133 213
351 148 188
352 168 213
353 212 225
354 150 204
355 166 220
356 180 250
357 156 221
358 160 221
359 193 247
360 128 237
361 162 174
362 171 202
363 153 215
364 152 195
365 152 195
366 194 216
367 171 218
368 171 224
369 153 179
370 140 216
371 141 222
372 196 250
373 145 248
374 137 230
375 182 198
376 254 330
377 260 345
378 291 358
379 262 347
380 301 316
381 268 288
382 256 344
383 297 321
384 319 368
385 302 346
386 273 353
387 266 363
388 255 354
389 279 309
390 322 326
391 292 359
392 301 316
393 322 362
394 285 316
395 276 343
396 264 337
397 260 294
398 273 350
399 290 357
400 289 303
401 262 347
402 277 306
403 297 307
404 293 373
405 258 361
406 255 375
407 280 356
408 292 360
409 291 358
410 315 330
411 315 361
412 263 367
413 257 320
414 258 348
415 286 351
416 252 284
417 258 344
418 313 368
419 283 371
420 279 320
421 267 321
422 262 281
423 279 320
424 263 336
425 285 308
426 289 329
427 264 310
428 289 374
429 267 307
430 290 357
431 256 361
432 315 330
433 256 348
434 266 363
435 312 346
436 268 288
437 302 364
438 259 278
439 295 304
440 285 308
441 268 306
442 275 355
443 283 375
444 298 367
445 264 304
446 264 332
447 287 365
448 264 310
449 340 349
450 255 371
451 280 331
452 313 362
453 299 370
454 293 352
455 266 363
456 266 369
457 264 337
458 279 309
459 254 330
460 258 348
461 275 355
462 257 309
463 300 318
464 301 308
465 324 360
466 298 336
467 280 331
468 339 350
469 270 357
470 286 351
471 257 309
472 298 325
473 270 334
474 259 278
475 319 341
476 287 365
477 257 320
478 256 361
479 282 304
480 292 359
481 340 349
482 319 368
483 262 347
484 273 353
485 253 271
486 256 344
487 286 351
488 283 354
489 260 294
490 301 316
491 291 333
492 256 344
493 323 335
494 285 308
495 253 271
496 258 344
497 253 271
498 293 352
499 276 349
500 302 364
501 394 398
502 381 481
503 379 463
504 425 477
505 392 494
506 384 475
507 404 441
508 421 448
509 419 469
510 409 439
511 413 436
512 472 495
513 415 470
514 403 431
515 421 448
516 379 455
517 392 494
518 384 453
519 476 493
520 412 471
521 425 483
522 386 397
523 430 473
524 399 469
525 412 471
526 388 480
527 379 455
528 387 487
529 415 470
530 388 435
531 402 481
532 392 440
533 423 445
534 378 439
535 458 462
536 438 500
537 417 459
538 380 494
539 388 435
540 385 461
541 385 461
542 390 486
543 377 461
544 405 465
545 378 439
546 392 464
547 446 490
548 405 460
549 411 431
550 429 485
551 390 465
552 385 461
553 416 474
554 427 449
555 419 496
556 454 479
557 472 495
558 415 470
559 402 452
560 408 448
561 407 467
562 430 473
563 405 478
564 380 464
565 422 480
566 421 432
567 387 487
568 383 426
569 382 433
570 429 495
571 446 479
572 380 440
573 392 440
574 390 459
575 390 433
576 386 397
577 392 464
578 472 495
579 380 494
580 410 465
581 399 473
582 458 483
583 430 496
584 425 462
585 394 398
586 427 449
587 392 494
588 454 490
589 403 420
590 409 439
591 430 492
592 425 462
593 424 466
594 385 437
595 419 469
596 413 450
597 386 397
598 411 426
599 438 474
600 454 479
601 403 431
602 425 483
603 384 482
604 380 440
605 454 479
606 388 481
607 379 455
608 421 432
609 406 436
610 401 499
611 408 448
612 403 426
613 402 480
614 458 483
615 454 489
616 390 433
617 376 459
618 411 426
619 429 495
620 390 460
621 379 455
622 392 494
623 421 448
624 406 450
625 400 428
626 542 617
627 582 586
628 564 622
629 523 569
630 510 598
631 512 570
632 506 603
633 609 624
634 547 599
635 553 601
636 507 539
637 517 562
638 502 534
639 560 608
640 547 599
641 560 611
642 602 610
643 508 623
644 501 588
645 564 616
646 503 576
647 503 548
648 556 581
649 505 511
650 524 588
651 527 562
652 516 538
653 514 618
654 509 583
655 510 581
656 503 548
657 527 567
658 516 585
659 519 531
660 563 589
661 602 610
662 524 588
663 526 539
664 506 562
665 609 624
666 600 615
667 514 601
668 502 534
669 584 610
670 509 569
671 508 623
672 554 575
673 572 579
674 507 534
675 549 623
676 509 569
677 556 590
678 554 575
679 547 607
680 564 579
681 564 579
682 609 624
683 501 588
684 547 599
685 516 585
686 564 622
687 519 531
688 560 611
689 504 521
690 572 622
691 529 538
692 503 576
693 504 551
694 519 531
695 546 579
696 522 528
697 522 528
698 518 606
699 547 599
700 512 578
701 537 620
702 523 569
703 545 598
704 553 601
705 503 576
706 520 621
707 557 578
708 609 624
709 540 571
710 564 616
711 501 533
712 505 511
713 545 590
714 557 578
715 502 565
716 557 619
717 549 611
718 556 590
719 526 539
720 505 511
721 584 610
722 564 622
723 519 531
724 510 598
725 563 589
726 530 559
727 549 591
728 503 576
729 505 511
730 553 601
731 574 617
732 514 618
733 556 581
734 522 528
735 540 594
736 602 613
737 554 580
738 508 623
739 602 614
740 529 538
741 572 622
742 532 587
743 516 585
744 501 533
745 545 581
746 522 596
747 547 607
748 556 590
749 523 583
750 602 610
751 635 709
752 670 699
753 655 676
754 681 746
755 661 725
756 682 727
757 685 702
758 658 706
759 628 744
760 653 708
761 689 693
762 677 729
763 700 707
764 626 701
765 692 697
766 637 715
767 640 695
768 700 714
769 629 749
770 632 666
771 661 725
772 633 737
773 661 679
774 671 675
775 644 746
776 692 721
777 689 693
778 686 744
779 656 687
780 641 707
781 654 717
782 681 706
783 627 721
784 628 744
785 661 725
786 662 745
787 685 687
788 689 735
789 631 735
790 665 716
791 692 721
792 677 729
793 626 672
794 644 746
795 627 721
796 657 750
797 655 676
798 635 722
799 649 699
800 646 710
801 671 734
802 689 693
803 630 701
804 651 719
805 671 738
806 629 749
807 660 694
808 639 738
809 638 668
810 633 672
811 640 674
812 662 745
813 632 664
814 667 748
815 665 708
816 656 702
817 681 732
818 642 736
819 640 695
820 627 697
821 631 693
822 667 748
823 712 729
824 669 733
825 635 709
826 700 714
827 682 743
828 663 731
829 677 729
830 643 734
831 629 749
832 652 711
833 653 708
834 644 746
835 627 721
836 649 699
837 659 690
838 700 707
839 655 673
840 638 731
841 661 679
842 656 687
843 654 740
844 681 732
845 669 733
846 627 697
847 653 716
848 626 737
849 685 705
850 689 742
851 670 747
852 692 697
853 646 690
854 685 702
855 645 711
856 681 746
857 656 687
858 665 696
859 670 699
860 663 726
861 650 710
862 658 732
863 645 678
864 659 694
865 634 747
866 629 749
867 654 740
868 633 701
869 661 725
870 665 696
871 642 736
872 626 737
873 645 678
874 628 741
875 644 706
876 777 817
877 788 872
878 794 824
879 779 842
880 785 793
881 821 829
882 821 867
883 801 830
884 754 795
885 792 867
886 790 870
887 758 844
888 814 822
889 779 854
890 766 826
891 806 832
892 796 848
893 769 800
894 792 867
895 764 862
896 762 840
897 788 843
898 803 868
899 767 861
900 759 824
901 779 863
902 764 862
903 754 844
904 766 838
905 761 817
906 758 834
907 778 798
908 789 820
909 757 841
910 751 855
911 761 802
912 769 800
913 756 858
914 818 822
915 799 851
916 771 841
917 869 875
918 781 864
919 806 832
920 778 798
921 776 836
922 777 802
923 787 863
924 773 834
925 752 865
926 777 817
927 758 858
928 788 872
929 788 872
930 785 835
931 758 873
932 758 873
933 815 870
934 801 853
935 790 870
936 759 824
937 767 861
938 756 844
939 751 825
940 759 824
941 777 802
942 769 831
943 783 852
944 762 840
945 777 817
946 771 835
947 789 791
948 780 804
949 781 837
950 779 842
951 757 841
952 827 856
953 790 870
954 768 838
955 790 847
956 783 820
957 771 793
958 783 852
959 801 808
960 814 822
961 789 820
962 767 819
963 810 813
964 756 873
965 815 847
966 766 809
967 772 816
968 869 875
969 771 793
970 783 852
971 751 855
972 764 770
973 814 833
974 773 858
975 818 822
976 778 845
977 818 833
978 801 853
979 763 812
980 786 859
981 828 860
982 760 831
983 803 813
984 814 833
985 821 867
986 814 822
987 788 872
988 756 873
989 789 791
990 774 839
991 754 844
992 792 823
993 762 860
994 768 838
995 801 853
996 788 843
997 792 829
998 780 804
999 814 833
1000 805 853
